Id,Predicted
0,3
1,9
10,3
100,9
101,4
102,7
103,5
104,7
105,2
106,3
107,1
108,8
109,5
11,4
110,3
111,5
112,3
113,1
114,8
115,1
116,5
117,9
118,1
119,6
12,1
120,4
121,9
122,8
123,8
124,4
125,3
126,8
127,0
128,5
129,0
13,9
130,7
131,2
132,3
133,5
134,0
135,8
136,2
137,0
138,7
139,2
14,8
140,2
141,8
142,1
143,4
144,3
145,0
146,9
147,6
148,8
149,0
15,3
150,0
151,6
152,8
153,6
154,7
155,7
156,9
157,9
158,7
159,9
16,4
160,5
161,4
162,8
163,6
164,7
165,5
166,2
167,0
168,9
169,1
17,7
170,2
171,9
172,5
173,0
174,2
175,8
176,3
177,2
178,8
179,1
18,4
180,9
181,1
182,5
183,7
184,4
185,6
186,8
187,1
188,4
189,7
19,0
190,7
191,0
192,6
193,4
194,2
195,6
196,1
197,7
198,5
199,9
2,3
20,3
200,6
201,9
202,4
203,3
204,5
205,5
206,2
207,2
208,7
209,9
21,7
210,2
211,0
212,8
213,2
214,3
215,3
216,8
217,4
218,0
219,8
22,4
220,3
221,6
222,4
223,1
224,1
225,4
226,4
227,8
228,3
229,6
23,1
230,7
231,9
232,3
233,3
234,2
235,1
236,5
237,1
238,7
239,6
24,3
240,3
241,2
242,6
243,5
244,0
245,7
246,6
247,5
248,2
249,5
25,1
250,4
251,1
252,7
253,9
254,9
255,1
256,9
257,1
258,7
259,8
26,8
260,5
261,7
262,4
263,0
264,7
265,4
266,2
267,9
268,2
269,4
27,4
270,7
271,9
272,3
273,6
274,4
275,2
276,1
277,1
278,5
279,8
28,9
280,4
281,0
282,8
283,0
284,8
285,1
286,2
287,6
288,4
289,2
29,7
290,7
291,2
292,7
293,8
294,2
295,0
296,2
297,9
298,4
299,8
3,1
30,6
300,7
301,9
302,4
303,2
304,1
305,4
306,8
307,8
308,0
309,2
31,1
310,3
311,8
312,0
313,5
314,6
315,1
316,2
317,0
318,8
319,6
32,5
320,5
321,2
322,6
323,6
324,3
325,1
326,3
327,5
328,8
329,4
33,8
330,0
331,7
332,2
333,5
334,1
335,0
336,0
337,8
338,0
339,0
34,9
340,6
341,3
342,2
343,5
344,6
345,0
346,0
347,3
348,2
349,6
35,0
350,0
351,2
352,0
353,8
354,1
355,7
356,7
357,4
358,4
359,2
36,1
360,4
361,1
362,6
363,1
364,6
365,8
366,5
367,1
368,5
369,4
37,0
370,5
371,1
372,3
373,2
374,4
375,4
376,6
377,7
378,2
379,0
38,5
380,8
381,8
382,0
383,1
384,0
385,5
386,9
387,1
388,8
389,1
39,0
390,3
391,5
392,6
393,8
394,5
395,5
396,1
397,2
398,5
399,4
4,6
40,7
400,1
401,4
402,9
403,1
404,6
405,9
406,7
407,5
408,1
409,5
41,0
410,5
411,5
412,3
413,3
414,0
415,1
416,1
417,1
418,7
419,1
42,7
420,5
421,7
422,6
423,2
424,8
425,9
426,6
427,4
428,5
429,6
43,6
430,8
431,6
432,3
433,6
434,6
435,7
436,3
437,0
438,8
439,6
44,8
440,9
441,9
442,2
443,4
444,7
445,2
446,9
447,8
448,7
449,0
45,0
450,4
451,9
452,7
453,4
454,1
455,2
456,5
457,9
458,8
459,8
46,0
460,2
461,0
462,1
463,4
464,3
465,9
466,2
467,6
468,9
469,1
47,7
470,3
471,1
472,9
473,6
474,0
475,1
476,9
477,6
478,5
479,6
48,7
480,2
481,3
482,2
483,1
484,6
485,9
486,0
487,5
488,1
489,6
49,7
490,9
491,6
492,0
493,7
494,5
495,1
496,7
497,1
498,0
499,8
5,5
50,2
51,0
52,2
53,0
54,0
55,5
56,0
57,3
58,2
59,2
6,6
60,3
61,7
62,3
63,3
64,7
65,5
66,9
67,0
68,1
69,2
7,1
70,2
71,2
72,5
73,2
74,4
75,9
76,8
77,0
78,6
79,8
8,5
80,7
81,7
82,9
83,6
84,1
85,4
86,0
87,1
88,1
89,2
9,8
90,4
91,3
92,7
93,2
94,7
95,2
96,7
97,4
98,9
99,1
